feature,importance_mean,importance_std
num__conners_cognitive_problems,0.005768944099378892,0.010807909178653005
num__cbcl_internalizing_proxy,0.004894409937888211,0.003968814819189431
num__has_conners,0.0028422360248447688,0.007401668812336515
num__sdq_prosocial_behavior,0.001242236024844745,0.00248447204968949
num__cbcl_externalizing_proxy,0.0006211180124223725,0.001242236024844745
num__age_years,0.0,0.0
cat__sex_assigned_at_birth_Female,0.0,0.0
num__ysr_rule_breaking_proxy,0.0,0.0
num__ysr_internalizing_proxy,0.0,0.0
num__ysr_externalizing_proxy,0.0,0.0
num__ysr_attention_problems_proxy,0.0,0.0
num__ysr_anxious_depressed_proxy,0.0,0.0
num__ysr_aggressive_behavior_proxy,0.0,0.004081406112304338
num__sdq_impact,0.0,0.0
num__sdq_emotional_symptoms,0.0,0.0
num__has_sdq,0.0,0.0
cat__sex_assigned_at_birth_Male,0.0,0.0
num__conners_total,0.0,0.0
num__has_swan,0.0,0.0
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__swan_hyperactive_impulsive_total,0.0,0.0
num__cbcl_aggressive_behavior_proxy,0.0,0.0
num__swan_inattention_total,0.0,0.0
num__has_cbcl,0.0,0.0
num__conners_conduct_problems,0.0,0.0
num__conners_hyperactivity,0.0,0.0
num__has_ysr,-0.0006211180124223725,0.001242236024844745
num__release,-0.0008000000000000007,0.0016000000000000012
num__sdq_hyperactivity_inattention,-0.0013366459627328852,0.0013759938417397533
num__sdq_total_difficulties,-0.0016000000000000014,0.001959591794226544
num__sdq_peer_problems,-0.0025788819875776302,0.0017633381756050886
num__swan_total,-0.005157763975155283,0.004210270518667558
num__sdq_conduct_problems,-0.007632298136645965,0.0024851874746333576
num__cbcl_attention_problems_proxy,-0.010747826086956503,0.003660786734494495
num__cbcl_rule_breaking_proxy,-0.01509565217391302,0.004465214928949555
