domain,model_id,train_fraction,train_rows_used,threshold,precision_val,balanced_accuracy_val,recall_val,specificity_val,pr_auc_val
adhd,domain_adhd_research_full,0.2,266,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,0.9918559701168397
adhd,domain_adhd_research_full,0.4,533,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,0.9918559701168397
adhd,domain_adhd_research_full,0.6,799,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,0.9918559701168397
adhd,domain_adhd_research_full,0.8,1066,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,0.9918559701168397
adhd,domain_adhd_research_full,1.0,1333,0.05,1.0,0.9906832298136645,0.9813664596273292,1.0,0.9918559701168397
anxiety,domain_anxiety_strict_full,0.2,266,0.5499999999999999,1.0,0.9696969696969697,0.9393939393939394,1.0,0.9865319126293666
anxiety,domain_anxiety_strict_full,0.4,533,0.05,0.9393939393939394,0.9606060606060607,0.9393939393939394,0.9818181818181818,0.8955852228579502
anxiety,domain_anxiety_strict_full,0.6,799,0.05,0.9701492537313433,0.9878787878787879,0.9848484848484849,0.990909090909091,0.9716287163326163
anxiety,domain_anxiety_strict_full,0.8,1066,0.05,0.9696969696969697,0.9803030303030303,0.9696969696969697,0.990909090909091,0.9459501252114889
anxiety,domain_anxiety_strict_full,1.0,1333,0.05,1.0,1.0,1.0,1.0,1.0
conduct,domain_conduct_research_full,0.2,266,0.35,0.9294117647058824,0.9791868932038835,0.9875,0.970873786407767,0.9212906211435623
conduct,domain_conduct_research_full,0.4,533,0.85,0.9871794871794872,0.9788228155339807,0.9625,0.9951456310679612,0.9778869428335892
conduct,domain_conduct_research_full,0.6,799,0.25,0.9404761904761905,0.9816140776699029,0.9875,0.9757281553398058,0.9322167415917416
conduct,domain_conduct_research_full,0.8,1066,0.75,0.9875,0.9913228155339806,0.9875,0.9951456310679612,0.9786527534965035
conduct,domain_conduct_research_full,1.0,1333,0.85,1.0,0.98125,0.9625,1.0,0.9985797050561798
depression,domain_depression_strict_full,0.2,266,0.6,1.0,0.9736842105263157,0.9473684210526315,1.0,0.9983284818742838
depression,domain_depression_strict_full,0.4,533,0.7999999999999999,0.9821428571428571,0.976642186862505,0.9649122807017544,0.9883720930232558,0.9657103614093292
depression,domain_depression_strict_full,0.6,799,0.7999999999999999,0.9646017699115044,0.9664422684618523,0.956140350877193,0.9767441860465116,0.9565375205930582
depression,domain_depression_strict_full,0.8,1066,0.7999999999999999,0.9819819819819819,0.9722562219502244,0.956140350877193,0.9883720930232558,0.9762136297786063
depression,domain_depression_strict_full,1.0,1333,0.75,0.9827586206896551,0.9941860465116279,1.0,0.9883720930232558,0.9826100107840817
elimination,domain_elimination_strict_full,0.2,266,0.05,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,0.4,533,0.05,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,0.6,799,0.05,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,0.8,1066,0.05,1.0,1.0,1.0,1.0,1.0
elimination,domain_elimination_strict_full,1.0,1333,0.05,1.0,1.0,1.0,1.0,1.0
