feature,importance_mean,importance_std
num__sdq_conduct_problems__missing,0.20852007469654527,0.02017482034118574
num__cbcl_attention_problems_proxy,0.0393557422969187,0.013682150494444741
num__has_sdq,0.03499066293183937,0.018295561564116866
num__cbcl_externalizing_proxy,0.025606909430438796,0.011257025490318429
num__sdq_hyperactivity_inattention,0.020354808590102656,0.018151924509378057
num__cbcl_internalizing_proxy,0.01988795518207278,0.010174994789256517
num__sdq_impact,0.014075630252100768,0.011585491965823407
num__sdq_conduct_problems,0.01272175536881417,0.007454320161154473
num__has_cbcl,0.010971055088702131,0.012471847026107857
num__sdq_total_difficulties,0.00723622782446307,0.007563169299269538
num__age_years,0.005018674136321133,0.019067547153939657
num__has_sdq__missing,0.002707749766573242,0.0054420971814266444
num__cbcl_aggressive_behavior_proxy,0.002310924369747869,0.009822633425921552
num__cbcl_rule_breaking_proxy,9.337068160593098e-05,0.00617562539517466
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__sdq_impact__missing,0.0,0.0
num__sdq_emotional_symptoms,0.0,0.0
num__sdq_emotional_symptoms__missing,0.0,0.0
num__sdq_hyperactivity_inattention__missing,0.0,0.0
cat__sex_assigned_at_birth_Female,0.0,0.0
num__sdq_total_difficulties__missing,0.0,0.0
cat__sex_assigned_at_birth_Male,0.0,0.0
num__comorbidity_count_5targets,-0.0038748832866480456,0.012968402840158067
