feature,importance_mean,importance_std
cat__sex_assigned_at_birth_Male,0.03727556596409045,0.008824816374581445
num__ari_sr_impairment_item,0.012314597970335628,0.0008196721311475309
num__has_cbcl,0.011085089773614332,0.0010038892388455523
num__has_ari_sr,0.010675253708040566,0.0010038892388455523
num__cbcl_attention_problems_proxy,0.00862607338017174,0.0010038892388455523
num__sdq_conduct_problems,0.005835284933645579,0.005194117411335377
num__ari_p_impairment_item,0.003942232630757192,0.005750634637480526
num__sdq_hyperactivity_inattention,0.0035323965651834046,0.006080542686167333
num__cbcl_rule_breaking_proxy,0.0029664324746291994,0.0049754709389840815
num__cbcl_externalizing_proxy,0.0024590163934425924,0.0015334661421204487
num__sdq_prosocial_behavior,0.0012295081967212962,0.0010038892388455523
num__release,0.0011514441842310542,0.003880888609439673
num__ysr_internalizing_proxy,0.0,0.0
num__ysr_anxious_depressed_proxy,0.0,0.0
num__ysr_attention_problems_proxy,0.0,0.0
num__sdq_emotional_symptoms,0.0,0.0
num__icut_callousness,0.0,0.0
num__ysr_externalizing_proxy,0.0,0.0
num__ari_p_symptom_total,0.0,0.0
num__icut_total,0.0,0.0
num__cbcl_anxious_depressed_proxy,0.0,0.0
num__ysr_rule_breaking_proxy,0.0,0.0
num__comorbidity_count_5targets,0.0,0.0
num__ari_sr_symptom_total,0.0,0.0
cat__sex_assigned_at_birth_Female,0.0,0.0
num__sdq_peer_problems,-0.0004098360655737876,0.0008196721311475754
num__age_years,-0.0008196721311475974,0.0024590163934426444
num__sdq_total_difficulties,-0.0012295081967213628,0.00692380924392188
num__icut_unemotional,-0.0015612802498048638,0.005252307225385191
num__has_icut,-0.0023809523809523946,0.004761904761904789
num__cbcl_internalizing_proxy,-0.002868852459016469,0.006923809243921909
num__icut_uncaring,-0.003278688524590234,0.0010038892388455523
num__has_sdq,-0.0038641686182670386,0.005894866812765228
num__ysr_aggressive_behavior_proxy,-0.004352068696331024,0.005369419606250669
num__sdq_impact,-0.009113973458235813,0.005581576893052322
num__cbcl_aggressive_behavior_proxy,-0.00927010148321632,0.0064976861102992
num__has_ysr,-0.009523809523809578,0.004761904761904789
num__has_ari_p,-0.011651053864168693,0.006854702655952222
